ATL,2005
20,Donte Greene,PF,6-11,226,February 21 1988,3,Syracuse University,SAC,2012
42,Chuck Hayes,C,6-6,240,June 11 1983,6,University of Kentucky,SAC,2012
31,J.J. Hickson,PF,6-9,242,September 4 1988,3,North Carolina State University,SAC,2012
3,Tyler Honeycutt,SF,6-8,188,July 15 1990,R,University of California Los Angeles,SAC,2012
25,Travis Outlaw,SF,6-9,210,September 18 1984,8,,SAC,2012
5,John Salmons,SF,6-7,210,December 12 1979,9,University of Miami,SAC,2012
22,Isaiah Thomas,PG,5-9,185,February 7 1989,R,University of Washington,SAC,2012
34,Jason Thompson,PF,6-11,250,July 21 1986,3,Rider University,SAC,2012
23,Marcus Thornton,SG,6-4,205,June 5 1987,2,Louisiana State University,SAC,2012
33,Hassan Whiteside,C,7-0,265,June 13 1989,1,Marshall University,SAC,2012
55,Terrence Williams,SG,6-6,220,June 28 1987,2,University of Louisville,SAC,2012
SAC,2013
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAC,2013
45,Cole Aldrich,C,6-11,250,October 31 1988,2,University of Kansas,SAC,2013
3,Aaron Brooks,PG,6-0,161,January 14 1985,4,University of Oregon,SAC,2013
15,DeMarcus Cousins,C,6-11,270,August 13 1990,2,University of Kentucky,SAC,2013
0,Toney Douglas,PG,6-2,195,March 16 1986,3,Florida State University,SAC,2013
13,Tyreke Evans,SG,6-6,220,September 19 1989,3,University of Memphis,SAC,2013
7,Jimmer Fredette,SG,6-2,195,February 25 1989,1,Brigham Young University,SAC,2013
32,Francisco Garcia,SG,6-7,195,December 31 1981,7,University of Louisville,SAC,2013
42,Chuck Hayes,C,6-6,240,June 11 1983,7,University of Kentucky,SAC,2013
9,Tyler Honeycutt,SF,6-8,188,July 15 1990,1,University of California Los Angeles,SAC,2013
52,James Johnson,SF,6-9,250,February 20 1987,3,Wake Forest University,SAC,2013
25,Travis Outlaw,SF,6-9,210,September 18 1984,9,,SAC,2013
9,Patrick Patterson,PF,6-9,235,March 14 1989,2,University of Kentucky,SAC,2013
0,Thomas Robinson,PF,6-10,237,March 17 1991,R,University of Kansas,SAC,2013
5,John Salmons,SF,6-7,210,December 12 1979,10,University of Miami,SAC,2013
22,Isaiah Thomas,PG,5-9,185,February 7 1989,1,University of Washington,SAC,2013
34,Jason Thompson,PF,6-11,250,July 21 1986,4,Rider University,SAC,2013
23,Marcus Thornton,SG,6-4,205,June 5 1987,3,Louisiana State University,SAC,2013
SAC,2014
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAC,2014
5,Quincy Acy,SF,6-7,240,October 6 1990,1,Baylor University,SAC,2014
15,DeMarcus Cousins,C,6-11,270,August 13 1990,3,University of Kentucky,SAC,2014
9,Jared Cunningham,SG,6-4,195,May 22 1991,1,Oregon State University,SAC,2014
30,Reggie Evans,PF,6-8,245,May 18 1980,11,University of Iowa,SAC,2014
7,Jimmer Fredette,SG,6-2,195,February 25 1989,2,Brigham Young University,SAC,2014
8,Rudy Gay,SF,6-8,230,August 17 1986,7,University of Connecticut,SAC,2014
33,Aaron Gray,C,7-0,270,December 7 1984,6,University of Pittsburgh,SAC,2014
42,Chuck Hayes,C,6-6,240,June 11 1983,8,University of Kentucky,SAC,2014
,Orlando Johnson,SG,6-5,220,March 11 1989,1,University of California Santa Barbara,SAC,2014
24,Carl Landry,PF,6-9,248,September 19 1983,6,Purdue University,SAC,2014
33,Luc Mbah a Moute,SF,6-8,230,September 9 1986,5,University of California Los Angeles,SAC,2014
3,Ray McCallum,PG,6-3,190,June 12 1991,R,University of Detroit Mercy,SAC,2014
16,Ben McLemore,SG,6-5,195,February 11 1993,R,University of Kansas,SAC,2014
55,Hamady N'Diaye,C,7-0,235,January 12 1987,2,Rutgers University,SAC,2014
25,Travis Outlaw,SF,6-9,210,September 18 1984,10,,SAC,2014
9,Patrick Patterson,PF,6-9,235,March 14 1989,3,University of Kentucky,SAC,2014
5,John Salmons,SF,6-7,210,December 12 1979,11,University of Miami,SAC,2014
22,Isaiah Thomas,PG,5-9,185,February 7 1989,2,University of Washington,SAC,2014
34,Jason Thompson,PF,6-11,250,July 21 1986,5,Rider University,SAC,2014
23,Marcus Thornton,SG,6-4,205,June 5 1987,4,Louisiana State University,SAC,2014
10,Greivis Vasquez,PG,6-6,217,January 16 1987,3,University of Maryland,SAC,2014
35,Royce White,PF,6-8,270,April 10 1991,R,Iowa State University,SAC,2014
13,Derrick Williams,SF,6-8,240,May 25 1991,2,University of Arizona,SAC,2014
SAC,2015
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAC,2015
32,Sim Bhullar,C,7-5,360,December 2 1992,R,New Mexico State University,SAC,2015
18,Omri Casspi,SF,6-9,225,June 22 1988,5,,SAC,2015
7,Darren Collison,PG,6-0,175,August 23 1987,5,University of California Los Angeles,SAC,2015
15,DeMarcus Cousins,C,6-11,270,August 13 1990,4,University of Kentucky,SAC,2015
30,Reggie Evans,PF,6-8,245,May 18 1980,12,University of Iowa,SAC,2015
8,Rudy Gay,SF,6-8,230,August 17 1986,8,University of Connecticut,SAC,2015
5,Ryan Hollins,C,7-0,240,October 10 1984,8,University of California Los Angeles,SAC,2015
24,Carl Landry,PF,6-9,248,September 19 1983,7,Purdue University,SAC,2015
3,Ray McCallum,PG,6-3,190,June 12 1991,1,University of Detroit Mercy,SAC,2015
23,Ben McLemore,SG,6-5,195,February 11 1993,1,University of Kansas,SAC,2015
22,Andre Miller,PG,6-3,200,March 19 1976,15,University of Utah,SAC,2015
20,Quincy Miller,PF,6-9,210,November 18 1992,2,Baylor University,SAC,2015
25,Eric Moreland,PF,6-10,238,December 24 1991,R,Oregon State University,SAC,2015
9,Ramon Sessions,PG,6-3,190,April 11 1986,7,University of Nevada Reno,SAC,2015
10,Nik Stauskas,SG,6-6,205,October 7 1993,R,University of Michigan,SAC,2015
9,David Stockton,PG,5-11,165,June 24 1991,R,Gonzaga University,SAC,2015
34,Jason Thompson,PF,6-11,250,July 21 1986,6,Rider University,SAC,2015
31,David Wear,PF,6-10,230,September 21 1990,R,University of California Los Angeles,SAC,2015
13,Derrick Williams,PF,6-8,240,May 25 1991,3,University of Arizona,SAC,2015
SAS,2005
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAS,2005
17,Brent Barry,SG,6-6,185,December 31 1971,9,Oregon State University,SAS,2005
12,Bruce Bowen,SF,6-7,185,June 14 1971,8,California State University Fullerton,SAS,2005
23,Devin Brown,SG,6-5,220,December 30 1978,2,University of Texas at San Antonio,SAS,2005
21,Tim Duncan,PF,6-11,250,April 25 1976,7,Wake Forest University,SAS,2005
20,Manu Ginobili,SG,6-6,205,July 28 1977,2,,SAS,2005
1,Dion Glover,SG,6-5,228,October 22 1978,5,Georgia Institute of Technology,SAS,2005
5,Robert Horry,PF,6-9,220,August 25 1970,12,University of Alabama,SAS,2005
43,Linton Johnson,SF,6-8,205,June 13 1980,1,Tulane University,SAS,2005
4,Sean Marks,PF,6-10,250,August 23 1975,4,University of California,SAS,2005
34,Tony Massenburg,PF,6-9,220,July 31 1967,12,University of Maryland,SAS,2005
2,Nazr Mohammed,C,6-10,221,September 5 1977,6,University of Kentucky,SAS,2005
8,Rasho Nesterovic,C,7-0,248,May 30 1976,6,,SAS,2005
9,Tony Parker,PG,6-2,185,May 17 1982,3,,SAS,2005
3,Glenn Robinson,SF,6-7,225,January 10 1973,10,Purdue University,SAS,2005
31,Malik Rose,PF,6-7,250,November 23 1974,8,Drexel University,SAS,2005
14,Beno Udrih,PG,6-3,205,July 5 1982,R,,SAS,2005
11,Mike Wilks,PG,5-10,185,May 7 1979,2,Rice University,SAS,2005
SAS,2006
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAS,2006
17,Brent Barry,SG,6-6,185,December 31 1971,10,Oregon State University,SAS,2006
12,Bruce Bowen,SF,6-7,185,June 14 1971,9,California State University Fullerton,SAS,2006
21,Tim Duncan,PF,6-11,250,April 25 1976,8,Wake Forest University,SAS,2006
4,Michael Finley,SG,6-7,215,March 6 1973,10,University of Wisconsin,SAS,2006
20,Manu Ginobili,SG,6-6,205,July 28 1977,3,,SAS,2006
5,Robert Horry,PF,6-9,220,August 25 1970,13,University of Alabama,SAS,2006
40,Sean Marks,PF,6-10,250,August 23 1975,5,University of California,SAS,2006
2,Nazr Mohammed,C,6-10,221,September 5 1977,7,University of Kentucky,SAS,2006
8,Rasho Nesterovic,C,7-0,248,May 30 1976,7,,SAS,2006
7,Fabricio Oberto,C,6-10,245,March 21 1975,R,,SAS,2006
9,Tony Parker,PG,6-2,185,May 17 1982,4,,SAS,2006
34,Melvin Sanders,SG,6-5,210,January 3 1981,R,Oklahoma State University,SAS,2006
25,Alex Scales,SG,6-4,185,July 3 1978,R,University of Oregon,SAS,2006
14,Beno Udrih,PG,6-3,205,July 5 1982,1,,SAS,2006
31,Nick Van Exel,PG,6-1,170,November 27 1971,12,University of Cincinnati,SAS,2006
SAS,2007
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAS,2007
17,Brent Barry,SG,6-6,185,December 31 1971,11,Oregon State University,SAS,2007
15,Matt Bonner,PF,6-10,235,April 5 1980,2,University of Florida,SAS,2007
12,Bruce Bowen,SF,6-7,185,June 14 1971,10,California State University Fullerton,SAS,2007
45,Jackie Butler,C,6-10,250,March 10 1985,2,,SAS,2007
21,Tim Duncan,C,6-11,250,April 25 1976,9,Wake Forest University,SAS,2007
16,Francisco Elson,C,7-0,235,February 28 1976,3,University of California,SAS,2007
2,Melvin Ely,C,6-10,260,May 2 1978,4,California State University Fresno,SAS,2007
4,Michael Finley,SF,6-7,215,March 6 1973,11,University of Wisconsin,SAS,2007
20,Manu Ginobili,SG,6-6,205,July 28 1977,4,,SAS,2007
5,Robert Horry,PF,6-9,220,August 25 1970,14,University of Alabama,SAS,2007
7,Fabricio Oberto,PF,6-10,245,March 21 1975,1,,SAS,2007
9,Tony Parker,PG,6-2,185,May 17 1982,5,,SAS,2007
14,Beno Udrih,PG,6-3,205,July 5 1982,2,,SAS,2007
11,Jacque Vaughn,PG,6-1,190,February 11 1975,9,University of Kansas,SAS,2007
33,James White,SG,6-7,200,October 21 1982,R,University of Cincinnati,SAS,2007
55,Eric Williams,SF,6-8,220,July 17 1972,11,Providence College,SAS,2007
SAS,2008
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAS,2008
17,Brent Barry,SF,6-6,185,December 31 1971,12,Oregon State University,SAS,2008
15,Matt Bonner,PF,6-10,235,April 5 1980,3,University of Florida,SAS,2008
12,Bruce Bowen,SF,6-7,185,June 14 1971,11,California State University Fullerton,SAS,2008
21,Tim Duncan,C,6-11,250,April 25 1976,10,Wake Forest University,SAS,2008
16,Francisco Elson,C,7-0,235,February 28 1976,4,University of California,SAS,2008
4,Michael Finley,SG,6-7,215,March 6 1973,12,University of Wisconsin,SAS,2008
20,Manu Ginobili,SG,6-6,205,July 28 1977,5,,SAS,2008
25,Robert Horry,PF,6-9,220,August 25 1970,15,University of Alabama,SAS,2008
1,DerMarr Johnson,SF,6-9,201,May 5 1980,6,University of Cincinnati,SAS,2008
42,Bobby Jones,SF,6-7,215,January 9 1984,1,University of Washington,SAS,2008
3,Keith Langford,SG,6-4,215,September 15 1983,R,University of Kansas,SAS,2008
28,Ian Mahinmi,C,6-11,250,November 5 1986,R,,SAS,2008
7,Fabricio Oberto,PF,6-10,245,March 21 1975,2,,SAS,2008
9,Tony Parker,PG,6-2,185,May 17 1982,6,,SAS,2008
23,Jeremy Richardson,SG,6-6,185,February 11 1984,1,Delta State University,SAS,2008
3,Damon Stoudamire,PG,5-10,171,September 3 1973,12,University of Arizona,SAS,2008
40,Kurt Thomas,PF,6-9,230,October 4 1972,12,Texas Christian University,SAS,2008
5,Ime Udoka,PF,6-6,215,August 9 1977,3,Portland State University,SAS,2008
11,Jacque Vaughn,PG,6-1,190,February 11 1975,10,University of Kansas,SAS,2008
35,Darius Washington,SG,6-2,195,December 6 1985,R,University of Memphis,SAS,2008
33,Marcus Williams,SF,6-7,205,November 18 1986,R,University of Arizona,SAS,2008
SAS,2009
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAS,2009
18,Blake Ahearn,PG,6-2,190,May 27 1984,1,Missouri State University,SAS,2009
15,Matt Bonner,PF,6-10,235,April 5 1980,4,University of Florida,SAS,2009
12,Bruce Bowen,SF,6-7,185,June 14 1971,12,California State University Fullerton,SAS,2009
22,Austin Croshere,PF,6-9,235,May 1 1975,11,Providence College,SAS,2009
21,Tim Duncan,C,6-11,250,April 25 1976,11,Wake Forest University,SAS,2009
33,Desmon Farmer,SG,6-5,220,October 7 1981,1,University of Southern California,SAS,2009
4,Michael Finley,SF,6-7,215,March 6 1973,13,University of Wisconsin,SAS,2009
20,Manu Ginobili,SG,6-6,205,July 28 1977,6,,SAS,2009
90,Drew Gooden,PF,6-10,250,September 24 1981,6,University of Kansas,SAS,2009
1,Malik Hairston,SG,6-6,220,February 23 1987,R,University of Oregon,SAS,2009
3,George Hill,PG,6-3,188,May 4 1986,R,Indiana University-Purdue University Indianapolis,SAS,2009
8,Roger Mason,SG,6-5,200,September 10 1980,4,University of Virginia,SAS,2009
54,Pops Mensah-Bonsu,PF,6-9,240,September 7 1983,1,George Washington University,SAS,2009
7,Fabricio Oberto,C,6-10,245,March 21 1975,3,,SAS,2009
9,Tony Parker,PG,6-2,185,May 17 1982,7,,SAS,2009
40,Kurt Thomas,PF,6-9,230,October 4 1972,13,Texas Christian University,SAS,2009
35,Anthony Tolliver,PF,6-8,240,June 1 1985,R,Creighton University,SAS,2009
5,Ime Udoka,SF,6-6,215,August 9 1977,4,Portland State University,SAS,2009
11,Jacque Vaughn,PG,6-1,190,February 11 1975,11,University of Kansas,SAS,2009
2,Marcus Williams,PF,6-7,205,November 18 1986,1,University of Arizona,SAS,2009
SAS,2010
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAS,2010
45,DeJuan Blair,PF,6-7,270,April 22 1989,R,University of Pittsburgh,SAS,2010
10,Keith Bogans,SF,6-5,215,May 12 1980,6,University of Kentucky,SAS,2010
15,Matt Bonner,PF,6-10,235,April 5 1980,5,University of Florida,SAS,2010
21,Tim Duncan,C,6-11,250,April 25 1976,12,Wake Forest University,SAS,2010
4,Michael Finley,SF,6-7,215,March 6 1973,14,University of Wisconsin,SAS,2010
20,Manu Ginobili,SG,6-6,205,July 28 1977,7,,SAS,2010
1,Malik Hairston,SG,6-6,220,February 23 1987,1,University of Oregon,SAS,2010
22,Marcus Haislip,SF,6-10,230,December 22 1980,3,University of Tennessee,SAS,2010
3,George Hill,PG,6-3,188,May 4 1986,1,Indiana University-Purdue University Indianapolis,SAS,2010
11,Cedric Jackson,PG,6-3,191,March 5 1986,R,Cleveland State University,SAS,2010
24,Richard Jefferson,SF,6-7,233,June 21 1980,8,University of Arizona,SAS,2010
28,Ian Mahinmi,C,6-11,250,November 5 1986,1,,SAS,2010
8,Roger Mason,SG,6-5,200,September 10 1980,5,University of Virginia,SAS,2010
34,Antonio McDyess,PF,6-9,220,September 7 1974,13,University of Alabama,SAS,2010
9,Tony Parker,PG,6-2,185,May 17 1982,8,,SAS,2010
42,Theo Ratliff,C,6-10,225,April 17 1973,14,University of Wyoming,SAS,2010
2,Garrett Temple,SG,6-6,195,May 8 1986,R,Louisiana State University,SAS,2010
SAS,2011
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAS,2011
25,James Anderson,SF,6-6,213,March 25 1989,R,Oklahoma State University,SAS,2011
45,DeJuan Blair,PF,6-7,270,April 22 1989,1,University of Pittsburgh,SAS,2011
15,Matt Bonner,PF,6-10,235,April 5 1980,6,University of Florida,SAS,2011
21,Tim Duncan,C,6-11,250,April 25 1976,13,Wake Forest University,SAS,2011
23,Alonzo Gee,SG,6-6,225,May 29 1987,1,University of Alabama,SAS,2011
20,Manu Ginobili,SG,6-6,205,July 28 1977,8,,SAS,2011
4,Danny Green,SG,6-6,215,June 22 1987,1,University of North Carolina,SAS,2011
3,George Hill,PG,6-3,188,May 4 1986,2,Indiana University-Purdue University Indianapolis,SAS,2011
12,Othyus Jeffers,SG,6-5,200,August 5 1985,1,Robert Morris University (IL),SAS,2011
24,Richard Jefferson,SF,6-7,233,June 21 1980,9,University of Arizona,SAS,2011
34,Antonio McDyess,PF,6-9,220,September 7 1974,14,University of Alabama,SAS,2011
14,Gary Neal,SG,6-4,210,October 3 1984,R,Towson University,SAS,2011
23,Steve Novak,SF,6-10,225,June 13 1983,4,Marquette University,SAS,2011
33,Larry Owens,SF,6-7,210,January 8 1983,R,Oral Roberts University,SAS,2011
9,Tony Parker,PG,6-2,185,May 17 1982,9,,SAS,2011
11,Chris Quinn,PG,6-2,185,September 27 1983,4,University of Notre Dame,SAS,2011
1,Bobby Simmons,SF,6-7,210,June 2 1980,8,DePaul University,SAS,2011
22,Tiago Splitter,C,6-11,245,January 1 1985,R,,SAS,2011
2,Garrett Temple,SG,6-6,195,May 8 1986,1,Louisiana State University,SAS,2011
5,Ime Udoka,SF,6-6,215,August 9 1977,6,Portland State University,SAS,2011
SAS,2012
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAS,2012
25,James Anderson,SG,6-6,213,March 25 1989,1,Oklahoma State University,SAS,2012
45,DeJuan Blair,PF,6-7,270,April 22 1989,2,University of Pittsburgh,SAS,2012
15,Matt Bonner,PF,6-10,235,April 5 1980,7,University of Florida,SAS,2012
34,Derrick Byars,PF,6-7,220,April 25 1984,R,Vanderbilt University,SAS,2012
23,Eric Dawson,C,6-9,250,July 7 1984,R,Midwestern State University,SAS,2012
1,Justin Dentmon,PG,5-11,185,September 5 1985,R,University of Washington,SAS,2012
33,Boris Diaw,PF,6-8,250,April 16 1982,8,,SAS,2012
1,Ike Diogu,PF,6-8,250,September 11 1983,5,Arizona State University,SAS,2012
21,Tim Duncan,C,6-11,250,April 25 1976,14,Wake Forest University,SAS,2012
11,T.J. Ford,PG,6-0,165,March 24 1983,7,University of Texas at Austin,SAS,2012
20,Manu Ginobili,SG,6-6,205,July 28 1977,9,,SAS,2012
4,Danny Green,SG,6-6,215,June 22 1987,2,University of North Carolina,SAS,2012
3,Stephen Jackson,SF,6-8,218,April 5 1978,11,Butler County Community College,SAS,2012
24,Richard Jefferson,SF,6-7,233,June 21 1980,10,University of Arizona,SAS,2012
5,Cory Joseph,PG,6-3,190,August 20 1991,R,University of Texas at Austin,SAS,2012
2,Kawhi Leonard,SF,6-7,230,June 29 1991,R,San Diego State University,SAS,2012
8,Patrick Mills,PG,6-0,185,August 11 1988,2,Saint Mary's College of California,SAS,2012
14,Gary Neal,SG,6-4,210,October 3 1984,1,Towson University,SAS,2012
9,Tony Parker,PG,6-2,185,May 17 1982,10,,SAS,2012
22,Tiago Splitter,C,6-11,245,January 1 1985,1,,SAS,2012
23,Malcolm Thomas,PF,6-9,225,November 8 1988,R,San Diego State University,SAS,2012
SAS,2013
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAS,2013
11,James Anderson,SF,6-6,213,March 25 1989,2,Oklahoma State University,SAS,2013
16,Aron Baynes,C,6-10,260,December 9 1986,R,Washington State University,SAS,2013
45,DeJuan Blair,PF,6-7,270,April 22 1989,3,University of Pittsburgh,SAS,2013
15,Matt Bonner,PF,6-10,235,April 5 1980,8,University of Florida,SAS,2013
25,Nando De Colo,SG,6-5,200,June 23 1987,R,,SAS,2013
33,Boris Diaw,PF,6-8,250,April 16 1982,9,,SAS,2013
21,Tim Duncan,C,6-11,250,April 25 1976,15,Wake Forest University,SAS,2013
20,Manu Ginobili,SG,6-6,205,July 28 1977,10,,SAS,2013
4,Danny Green,SG,6-6,215,June 22 1987,3,University of North Carolina,SAS,2013
3,Stephen Jackson,SF,6-8,218,April 5 1978,12,Butler County Community College,SAS,2013
5,Cory Joseph,PG,6-3,190,August 20 1991,1,University of Texas at Austin,SAS,2013
2,Kawhi Leonard,SF,6-7,230,June 29 1991,1,San Diego State University,SAS,2013
8,Patrick Mills,PG,6-0,185,August 11 1988,3,Saint Mary's College of California,SAS,2013
14,Gary Neal,SG,6-4,210,October 3 1984,2,Towson University,SAS,2013
9,Tony Parker,PG,6-2,185,May 17 1982,11,,SAS,2013
22,Tiago Splitter,PF,6-11,245,January 1 1985,2,,SAS,2013
SAS,2014
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAS,2014
11,Jeff Ayres,PF,6-9,240,April 29 1987,3,Arizona State University,SAS,2014
16,Aron Baynes,C,6-10,260,December 9 1986,1,Washington State University,SAS,2014
3,Marco Belinelli,SF,6-5,210,March 25 1986,6,,SAS,2014
15,Matt Bonner,PF,6-10,235,April 5 1980,9,University of Florida,SAS,2014
1,Shannon Brown,SG,6-4,205,November 29 1985,7,Michigan State University,SAS,2014
23,Austin Daye,SF,6-11,220,June 5 1988,4,Gonzaga University,SAS,2014
25,Nando De Colo,SF,6-5,200,June 23 1987,1,,SAS,2014
33,Boris Diaw,PF,6-8,250,April 16 1982,10,,SAS,2014
21,Tim Duncan,C,6-11,250,April 25 1976,16,Wake Forest University,SAS,2014
20,Manu Ginobili,SG,6-6,205,July 28 1977,11,,SAS,2014
4,Danny Green,SG,6-6,215,June 22 1987,4,University of North Carolina,SAS,2014
7,Damion James,G-F,6-7,225,October 7 1987,3,University of Texas at Austin,SAS,2014
7,Othyus Jeffers,SG,6-5,200,August 5 1985,2,Robert Morris University (IL),SAS,2014
5,Cory Joseph,SG,6-3,190,August 20 1991,2,University of Texas at Austin,SAS,2014
2,Kawhi Leonard,SF,6-7,230,June 29 1991,2,San Diego State University,SAS,2014
8,Patrick Mills,PG,6-0,185,August 11 1988,4,Saint Mary's College of California,SAS,2014
9,Tony Parker,PG,6-2,185,May 17 1982,12,,SAS,2014
22,Tiago Splitter,C,6-11,245,January 1 1985,3,,SAS,2014
24,Malcolm Thomas,PF,6-9,225,November 8 1988,2,San Diego State University,SAS,2014
SAS,2015
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,SAS,2015
1,Kyle Anderson,SF,6-9,230,September 20 1993,R,University of California Los Angeles,SAS,2015
11,Jeff Ayres,PF,6-9,240,April 29 1987,4,Arizona State University,SAS,2015
